percent_gait_cycle,AdductorLongus,AdductorMagnus,BicepsFemorisLongHead,BicepsFemorisShortHead,ExtensorDigitorumLongus,ExtensorHallucisLongus,FlexorDigitorumLongus,FlexorHallucisLongus,Gastrocnemius,GluteusMaximusLower,GluteusMaximusUpper,GluteusMedius,Gracilis,Iliacus,PeroneusBrevis,PeroneusLongus,Popliteus,RectusFemoris,Sartorius,Semimembranosus,Semitendinosus,Soleus,TensorFasciaLata,TibialisAnterior,TibialisPosterior,VastusIntermedius,VastusLateralis,VastusMedialisLongus,VastusMedialisOblique
10.0,0.0,0.0,0.0,0.0,13.036684648663305,2.919344908453942,0.0,0.0,11.434493934537125,0.2119569930527765,20.472537950324742,24.66704739093486,0.0,0.0,0.0,0.0,7.17593968914601,0.0,0.0,15.668380413360914,14.762402272029846,19.33249473522011,29.893262573839554,21.347035107516138,15.325518954444007,19.750793014851112,23.105197482675447,13.23769339302079,22.15792312326589
11.0,0.0,0.0,0.0,0.0,8.083554263025844,0.0,0.06265729997516298,0.0,13.515387138032327,0.0,22.455929148354617,24.27778854954177,0.0,0.0,0.0,0.0,6.565192199197914,0.0,0.0,14.608368193532598,16.63311676543205,21.456577147256148,29.133256089999257,19.82785224157687,16.05381242207617,23.118788166902107,19.34840991872423,13.798906918231658,21.54743644461188
12.0,0.0,0.0,0.0,0.0,1.9453012156229519,0.0,3.5418155475781705,0.0,16.18407194964483,0.0,25.404879395907024,23.498926238093173,0.0,0.0,0.0,0.0,5.720283181988192,0.0,0.0,14.22238819546208,15.772380528988808,23.850585991811645,29.791451532942794,15.318267037888056,15.059720674254827,22.736942783486395,14.602072544301869,15.13830151160087,19.785476597397572
13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34419311378451,0.0,16.326810984418223,0.0,23.357083014552586,25.00518035126345,0.0,0.0,0.0,0.0,5.536977300377171,0.0,0.0,13.1106737509294,10.877764411679756,26.883409396955543,29.08351047896104,3.9044875434174555,12.301150939383316,21.026483467820142,11.506777939530785,14.415855050429489,12.862960385343445
14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.427721079584009,0.0,18.887861998892454,0.0,22.109986061818383,24.437474048485456,0.0,0.0,0.0,0.0,5.515500773704699,0.0,0.0,4.812164360317132,9.232105904117205,29.74245256047849,25.94198653418283,0.0,11.351024565291318,15.975029779701774,9.871196835206918,11.231952144879132,3.370990460989352
15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.898854725713083,0.0,21.07776099224186,0.0,21.06089237246543,21.72323802991531,0.0,0.0,0.0,4.924491360252765,4.054938865095288,0.0,0.0,0.6546339346211516,9.213206128159399,30.426089973835037,21.710069465168143,0.0,10.747541971366871,14.712128001951989,5.733403108350582,6.618251921347707,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.292013252533673,0.0,23.21357704113297,0.0,20.159361362134693,21.584916839997966,0.0,0.0,0.0,8.113318226408017,3.3340456062530404,0.0,0.0,0.0,5.760413780921928,32.291375690684916,20.29914364467677,0.0,9.952978041765235,14.160877166166879,1.044184117320205,1.98906001410656,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,7.650443202611288,0.0,26.379230647798256,0.0,19.75228524180151,21.56947953249774,0.0,0.0,0.0,9.439622762988897,3.4281598922523298,0.0,0.0,0.0,1.6021618347965716,33.16165657084745,21.158236219209165,0.0,9.664078421744899,12.104162912472853,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76605444408705,0.0,30.711245049595608,0.0,19.355886948144136,21.027866375112673,0.0,0.0,0.0,8.979588875074864,3.0419497667608377,0.0,0.0,0.0,0.0,33.30840884615448,21.6312350810247,0.0,10.259848161565875,9.220093719110587,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.076136783429519,0.0,32.916265678513945,0.0,18.197581019512004,21.54788936449762,0.0,0.0,0.0,9.293599411560434,2.0111463434074,0.0,0.0,0.0,0.0,32.55719499049447,23.218425725170395,0.0,11.362656321582396,5.798018896885496,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.267494964940056,0.0,35.32533030648021,0.0,15.972749323458949,21.386137820298607,0.0,0.0,0.7974329856978903,9.456599661437822,1.4499568674322854,0.0,0.0,0.0,0.0,32.569000510180416,26.943908879452945,0.0,10.905562549783319,0.9402906467940026,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,10.334048602541516,0.0,38.19639672732741,0.0,12.344474600025368,19.91462013208893,0.0,0.0,4.527186402093086,9.050482781181598,1.9910438604326761,0.0,0.0,0.0,0.0,32.28278016833444,28.566613445489132,0.0,10.216648554768854,0.7143672541307269,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418582374931853,0.0,39.60611559057062,0.0,10.334405975075406,19.69936932231262,0.0,0.0,5.919330036510368,8.693913202931155,3.199231224742075,0.0,0.0,0.0,0.0,31.563579083151414,25.651901357519797,0.0,11.6613588784828,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,14.342132918801068,0.0,38.904911520289446,0.0,7.442645490268778,18.929146241305673,0.0,0.0,6.607016528471051,10.384732407135251,3.206690690715626,0.0,0.0,0.0,0.0,31.401136338382926,21.01205442487696,0.0,11.03334883542022,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,15.64354239807416,0.0,38.17900177587381,0.0,4.874078811257793,16.095784328938993,0.0,0.0,7.352955596354876,10.306786607367156,2.1650183683371003,0.0,0.0,0.0,0.0,32.232199286741334,20.940407640295092,0.0,9.035982325533478,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,16.025250181045504,0.0,40.98308517687378,0.0,1.156518956080418,13.464513631865408,0.0,0.0,7.795068027920529,8.998477829676231,2.162461808642961,0.0,0.0,0.0,0.0,32.61943978030601,24.355198466505424,0.0,6.808602639123938,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,18.811119134878403,0.0,43.42697132406116,0.0,0.0,13.11216373930037,0.0,0.0,10.023678387719603,8.955870491649831,2.64403923492453,0.0,0.0,0.0,0.0,33.374815305551856,25.76827471130497,0.0,7.9959332799678595,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,22.681296129464265,0.0,43.16592438214916,0.0,0.0,12.768644977822847,0.0,0.0,12.469759485144138,8.801153599101825,3.1115095408454705,0.0,0.0,0.0,0.0,34.48513344832993,24.301452088969075,0.0,9.069908106148164,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3769923222779,0.0,43.55201289542626,0.0,0.0,11.245229498748992,0.0,0.0,12.94092078447293,9.168137129548512,3.5518296950069277,0.0,0.0,0.0,0.0,36.37879036993543,21.984298708531966,0.0,9.234526523904378,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,19.963977985960714,0.0,43.43147827632304,0.0,0.0,6.551181900367849,0.0,0.0,13.537309437124026,10.68459925257603,3.5731613950997354,0.0,0.0,0.0,0.0,39.93856191327028,21.439441125307383,0.0,10.395562551931889,0.0,0.0,0.0,0.0
